Student_ID,Student_Name,Gender,Branch,CGPA,Skills,Placement_Status,Company_Name,Package_LPA,Placement_Year
S0001,Student_1,Male,Civil,8.54,"Communication, Java, Python",Placed,Capgemini,8.33,2025
S0002,Student_2,Female,Civil,6.11,"Java, SQL, Excel",Placed,Wipro,6.06,2025
S0003,Student_3,Male,EEE,7.07,"Python, Java, Excel",Not Placed,Not selected,0,2023
S0004,Student_4,Female,CSE,8.74,"Data Analysis, C++, Excel",Placed,Wipro,8.51,2025
S0005,Student_5,Female,IT,7.98,"Python, Power BI, Excel",Placed,Tech Mahindra,6.62,2023
S0006,Student_6,Female,Mech,9.59,"Excel, Communication, Java",Placed,Wipro,7.31,2025
S0007,Student_7,Female,IT,8.54,"Excel, Java, Machine Learning",Placed,Accenture,11.14,2024
S0008,Student_8,Male,EEE,9.35,"Python, C++, SQL",Placed,Deloitte,11.19,2023
S0009,Student_9,Female,Mech,5.61,"Data Analysis, Machine Learning, SQL",Not Placed,Not selected,0,2023
S0010,Student_10,Male,CSE,8.52,"SQL, Machine Learning, Power BI",Placed,Cognizant,3.97,2023
S0011,Student_11,Female,ECE,7.73,"C++, Communication, Power BI",Placed,TCS,11.17,2023
S0012,Student_12,Female,Civil,5.93,"Python, Java, Data Analysis",Not Placed,Not selected,0,2023
S0013,Student_13,Male,EEE,8.88,"Data Analysis, Communication, C++",Not Placed,Not selected,0,2023
S0014,Student_14,Female,ECE,8.51,"Python, Communication, Machine Learning",Placed,Capgemini,4.92,2025
S0015,Student_15,Female,CSE,6.19,"Communication, Data Analysis, SQL",Not Placed,Not selected,0,2023
S0016,Student_16,Female,EEE,7.7,"Python, Excel, Machine Learning",Placed,TCS,8.6,2025
S0017,Student_17,Male,Mech,7.57,"Power BI, Python, Data Analysis",Not Placed,Not selected,0,2024
S0018,Student_18,Female,EEE,9.66,"Data Analysis, Java, SQL",Placed,Accenture,8,2025
S0019,Student_19,Male,Civil,5.73,"Python, Machine Learning, Communication",Placed,Deloitte,7.78,2024
S0020,Student_20,Male,Civil,9.55,"Power BI, Data Analysis, Python",Placed,TCS,5.61,2025
S0021,Student_21,Female,Civil,9.27,"Data Analysis, SQL, C++",Placed,Cognizant,11.06,2025
S0022,Student_22,Female,EEE,7.37,"C++, Power BI, SQL",Placed,Cognizant,10.45,2025
S0023,Student_23,Male,CSE,9.44,"C++, Data Analysis, Power BI",Not Placed,Not selected,0,2024
S0024,Student_24,Male,CSE,7.43,"Communication, Power BI, Python",Placed,HCL,11.94,2023
S0025,Student_25,Male,ECE,6.86,"Python, SQL, Communication",Placed,Capgemini,10.59,2025
S0026,Student_26,Female,ECE,7.45,"Python, Excel, C++",Not Placed,Not selected,0,2025
S0027,Student_27,Male,ECE,9.66,"C++, Machine Learning, Data Analysis",Placed,Deloitte,10.91,2025
S0028,Student_28,Female,Civil,9.78,"Machine Learning, SQL, Excel",Placed,Accenture,9.42,2025
S0029,Student_29,Female,Civil,6.03,"SQL, Power BI, Machine Learning",Placed,Wipro,4.85,2023
S0030,Student_30,Male,EEE,5.61,"Excel, C++, Machine Learning",Placed,Deloitte,7.76,2023
S0031,Student_31,Female,Mech,9.6,"Power BI, Machine Learning, Excel",Not Placed,Not selected,0,2023
S0032,Student_32,Female,IT,6.69,"Python, Java, Excel",Not Placed,Not selected,0,2025
S0033,Student_33,Female,CSE,6.32,"Python, SQL, Power BI",Not Placed,Not selected,0,2025
S0034,Student_34,Male,CSE,9.5,"Java, Python, Machine Learning",Not Placed,Not selected,0,2023
S0035,Student_35,Male,EEE,8.76,"Power BI, Data Analysis, SQL",Placed,TCS,6.65,2024
S0036,Student_36,Male,CSE,8.83,"Java, Python, C++",Placed,Tech Mahindra,4.99,2024
S0037,Student_37,Male,EEE,9.46,"Power BI, Machine Learning, Data Analysis",Placed,Cognizant,11.97,2023
S0038,Student_38,Female,CSE,8.82,"Data Analysis, Power BI, Python",Not Placed,Not selected,0,2024
S0039,Student_39,Female,Civil,8.3,"Power BI, SQL, Java",Placed,Capgemini,4.27,2023
S0040,Student_40,Female,EEE,6.72,"SQL, Java, Power BI",Placed,Accenture,9.54,2024
S0041,Student_41,Female,Mech,5.94,"Excel, SQL, Machine Learning",Not Placed,Not selected,0,2025
S0042,Student_42,Female,CSE,6.52,"Machine Learning, Power BI, Python",Placed,Capgemini,5.86,2023
S0043,Student_43,Female,IT,8.33,"Machine Learning, Power BI, Python",Placed,Cognizant,3.69,2025
S0044,Student_44,Male,IT,9.09,"SQL, Data Analysis, Java",Not Placed,Not selected,0,2025
S0045,Student_45,Male,Mech,7.45,"SQL, Java, Power BI",Not Placed,Not selected,0,2024
S0046,Student_46,Male,IT,7.8,"Power BI, Java, C++",Placed,HCL,10.2,2025
S0047,Student_47,Male,EEE,6.1,"SQL, Excel, C++",Placed,Wipro,5.38,2025
S0048,Student_48,Female,IT,6.46,"Python, Java, C++",Not Placed,Not selected,0,2023
S0049,Student_49,Male,IT,6.19,"Excel, SQL, Java",Not Placed,Not selected,0,2023
S0050,Student_50,Male,CSE,9.37,"Data Analysis, Machine Learning, SQL",Placed,Infosys,6.98,2024
S0051,Student_51,Male,EEE,7.54,"Excel, Java, Communication",Placed,Infosys,5.02,2024
S0052,Student_52,Male,Mech,6.72,"Communication, Java, Python",Not Placed,Not selected,0,2024
S0053,Student_53,Male,Mech,7.09,"Python, Communication, Machine Learning",Placed,Accenture,6.56,2024
S0054,Student_54,Female,IT,6.95,"Java, Excel, Machine Learning",Not Placed,Not selected,0,2025
S0055,Student_55,Female,CSE,8.5,"Data Analysis, Machine Learning, SQL",Not Placed,Not selected,0,2024
S0056,Student_56,Female,CSE,8.29,"SQL, C++, Data Analysis",Placed,Capgemini,4.89,2025
S0057,Student_57,Male,EEE,6.45,"SQL, Communication, Java",Placed,Wipro,10.58,2023
S0058,Student_58,Male,Mech,6.24,"Data Analysis, Excel, Communication",Placed,Cognizant,8.5,2024
S0059,Student_59,Male,IT,6.46,"Data Analysis, Java, Power BI",Not Placed,Not selected,0,2023
S0060,Student_60,Female,IT,6.46,"Python, Java, Excel",Not Placed,Not selected,0,2023
S0061,Student_61,Male,Mech,6.5,"Communication, SQL, Java",Placed,Tech Mahindra,10.53,2024
S0062,Student_62,Male,ECE,6.89,"Power BI, Java, Excel",Placed,HCL,3.16,2023
S0063,Student_63,Female,IT,8.24,"Machine Learning, Communication, Data Analysis",Placed,Wipro,7.16,2023
S0064,Student_64,Female,ECE,6.31,"Communication, Data Analysis, Python",Placed,Tech Mahindra,7.15,2023
S0065,Student_65,Female,ECE,6.53,"Machine Learning, Data Analysis, Java",Placed,TCS,8.23,2023
S0066,Student_66,Female,ECE,9,"Excel, Data Analysis, Communication",Placed,Tech Mahindra,10.07,2024
S0067,Student_67,Female,Mech,8.62,"Excel, Communication, C++",Placed,TCS,11.47,2024
S0068,Student_68,Male,CSE,8.8,"Machine Learning, Excel, Power BI",Not Placed,Not selected,0,2024
S0069,Student_69,Female,ECE,6.37,"Communication, Java, Power BI",Placed,Deloitte,7.74,2023
S0070,Student_70,Male,IT,5.56,"Machine Learning, Data Analysis, Power BI",Placed,Tech Mahindra,8.9,2024
S0071,Student_71,Male,Civil,5.52,"Python, SQL, Communication",Placed,Accenture,3.08,2025
S0072,Student_72,Female,CSE,6.76,"Power BI, SQL, C++",Placed,TCS,6.97,2024
S0073,Student_73,Female,IT,6.15,"Communication, Python, C++",Placed,Accenture,9.86,2023
S0074,Student_74,Female,Civil,9.12,"Python, SQL, Excel",Placed,Cognizant,7.89,2025
